Date,Year,Quarter,Month,Company,Industry,Region,Revenue,COGS,Operating Expenses,Gross Profit,Tax,Net Profit,Current Assets,Fixed Assets,Total Assets,Current Liabilities,Long-term Debt,Total Liabilities,Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow
03-07-2024,2024,Q3,July,Alpha Corp,Healthcare,East,367265,213947,64418,153318,17780,71120,440468,658286,1098754,204056,251752,455808,642946,73930,-29574,-17281,27075
22-09-2024,2024,Q3,September,Nova Ltd,IT,North,627698,318917,107779,308781,40200,160802,277642,394966,672608,114304,127837,242141,430467,158213,-50620,3312,110905
06-04-2025,2025,Q2,April,Prime Pvt,Healthcare,West,472193,262561,78572,209632,26212,104848,342867,444366,787233,158785,56237,215022,572211,114085,-68807,56490,101768
03-10-2024,2024,Q4,October,Vertex Ltd,IT,East,551391,375587,106538,175804,13853,55413,376883,313766,690649,146672,79833,226505,464144,61194,-54525,29541,36210
29-01-2024,2024,Q1,January,Nova Ltd,Healthcare,North,891479,426255,142562,465224,64532,258130,310113,479907,790020,210299,253559,463858,326162,239742,-11309,45086,273519
19-07-2024,2024,Q3,July,Zenith Inc,Retail,East,892710,380372,96417,512338,83184,332737,353798,390061,743859,110164,146444,256608,487251,321375,-38397,-7897,275081
23-12-2024,2024,Q4,December,Vertex Ltd,Healthcare,West,303923,210796,59843,93127,6656,26628,203545,816252,1019797,217848,266386,484234,535563,18411,-84109,-4744,-70442
07-07-2024,2024,Q3,July,Vertex Ltd,IT,East,921746,410478,141477,511268,73958,295833,249558,428700,678258,182072,223854,405926,272332,298128,-86094,40006,252040
18-09-2024,2024,Q3,September,Vertex Ltd,Healthcare,West,748858,494365,146108,254493,21677,86708,340305,643177,983482,179496,126071,305567,677915,91297,-85722,37210,42785
30-11-2025,2025,Q4,November,Prime Pvt,IT,North,249368,160095,47318,89273,8391,33564,129625,281953,411578,202763,193870,396633,14945,16199,-64257,-30077,-78135
